"Zaman","RuzgarYonu","HavaBasinci","BagilNem","RuzgarHizi","SolarRadyasyon","ToprakSicakligi","HavaSicakligi"
2017-01-01 14:00:00,244,1010.4,26.3,8,1021,28.6,27.91
2017-01-01 14:10:00,234,1010.3,30.3,8,1005,28.7,25.88
2017-01-01 14:20:00,225,1010.2,31.9,7,989,28.9,26.78
2017-01-01 14:30:00,223,1010.2,33,7,971,29.1,26.52
2017-01-01 14:40:00,226,1010,29.3,7,947,29.2,26.26
2017-01-01 14:50:00,232,1009.9,31.1,7,918,29.4,26.65
2017-01-01 15:00:00,228,1009.8,30.3,7,908,29.6,26.47
2017-01-01 15:10:00,231,1009.7,29.6,8,874,29.7,26.94
2017-01-01 15:20:00,228,1009.6,29.9,7,841,29.9,26.3
2017-01-01 15:30:00,225,1009.6,31.7,7,813,30.1,26.33
2017-01-01 15:40:00,234,1009.5,32.7,8,767,30.2,26.37
2017-01-01 15:50:00,224,1009.3,31.9,8,729,30.4,25.71
2017-01-01 16:00:00,220,1009.2,33.2,7,692,30.6,26.02
2017-01-01 16:10:00,225,1009.2,32.1,7,641,30.7,26.05
2017-01-01 16:20:00,220,1009.1,31,6,616,30.8,26.63
2017-01-01 16:30:00,225,1009.1,32.3,6,595,31,26.36
2017-01-01 16:40:00,224,1009.1,32.5,6,572,31.1,26.7
2017-01-01 16:50:00,225,1009.1,34.3,7,538,31.2,25.93
2017-01-01 17:00:00,237,1009,34.7,7,521,31.4,26.18
2017-01-01 17:10:00,234,1009,35.8,7,480,31.5,25.96
2017-01-01 17:20:00,229,1008.9,35.2,6,461,31.6,25.64
2017-01-01 17:30:00,228,1008.9,37.5,6,413,31.7,25.36
2017-01-01 17:40:00,228,1008.8,35.5,6,383,31.8,25.36
2017-01-01 17:50:00,225,1008.8,40,6,337,31.9,24.94
2017-01-01 18:00:00,224,1008.8,42,6,300,32,24.67
2017-01-01 18:10:00,222,1008.9,42.4,6,262,32.1,24.38
2017-01-01 18:20:00,216,1009,44.1,5,210,32.2,24.26
2017-01-01 18:30:00,223,1009,46,5,161,32.2,23.99
2017-01-01 18:40:00,224,1009,47.4,5,117,32.3,23.68
2017-01-01 18:50:00,227,1009.2,49.7,5,84,32.3,23.22
2017-01-01 19:00:00,224,1009.3,52.1,5,30,32.4,22.89
2017-01-01 19:10:00,223,1009.5,53.9,5,27,32.4,22.58
2017-01-01 19:20:00,216,1009.5,55.9,5,28,32.4,22.25
2017-01-01 19:30:00,223,1009.7,59.5,4,17,32.5,21.79
2017-01-01 19:40:00,224,1009.7,62.7,4,21,32.5,21.49
2017-01-01 19:50:00,212,1009.9,63.8,3,27,32.5,21.27
2017-01-01 20:00:00,201,1009.9,63.3,3,16,32.5,21.14
2017-01-01 20:10:00,214,1010,60.3,4,25,32.4,21.1
2017-01-01 20:20:00,200,1010.1,59.6,4,23,32.4,21
2017-01-01 20:30:00,202,1010.2,60,4,26,32.4,20.82
2017-01-01 20:40:00,201,1010.2,61.2,4,16,32.4,20.68
2017-01-01 20:50:00,196,1010.2,62.5,4,24,32.3,20.56
2017-01-01 21:00:00,198,1010.2,63.3,4,3,32.3,20.42
2017-01-01 21:10:00,202,1010.2,64,4,27,32.3,20.19
2017-01-01 21:20:00,195,1010.3,64.7,4,14,32.2,19.97
2017-01-01 21:30:00,199,1010.3,65.3,3,9,32.2,19.86
2017-01-01 21:40:00,200,1010.3,65.7,3,21,32.1,19.72
2017-01-01 21:50:00,202,1010.3,66.3,3,18,32,19.46
2017-01-01 22:00:00,195,1010.2,67.3,3,13,32,19.2
2017-01-01 22:10:00,194,1010.1,69,3,24,31.9,18.93
2017-01-01 22:20:00,194,1010.1,69.4,3,19,31.8,18.66
2017-01-01 22:30:00,194,1010,69.9,3,24,31.8,18.34
2017-01-01 22:40:00,194,1009.9,71.2,3,23,31.7,18.17
2017-01-01 22:50:00,195,1009.8,71.8,3,6,31.6,18.07
2017-01-01 23:00:00,197,1009.7,71.5,3,25,31.5,17.88
2017-01-01 23:10:00,197,1009.7,72,3,20,31.5,17.63
2017-01-01 23:20:00,195,1009.7,72.7,3,28,31.4,17.44
2017-01-01 23:30:00,195,1009.6,73.4,3,11,31.3,17.1
2017-01-01 23:40:00,195,1009.6,74.5,0,19,31.2,16.7
2017-01-01 23:50:00,178,1009.7,76.4,1,31,31.1,17.31
2017-01-02 00:00:00,143,1009.9,69.6,4,16,31,18.07
